bedrooms,bathrooms,sqft_living,sqft_lot,price
3,1,1180,5650,221900
3,2.25,2570,7242,538000
2,1,770,10000,180000
4,3,1960,5000,604000
3,2,1680,8080,510000
4,4.5,5420,101930,1225000
3,2.25,1715,6819,257500
3,1.5,1060,9711,291850
3,1,1780,7470,229500
3,2.5,1890,6560,323000
3,2.5,3560,9796,662500
2,1,1160,6000,468000
3,1,1430,19901,310000
3,1.75,1370,9680,400000
5,2,1810,4850,530000
4,3,2950,5000,650000
3,2,1890,14040,395000
4,1,1600,4300,485000
2,1,1200,9850,189000
3,1,1250,9774,230000
4,1.75,1620,4980,385000
3,2.75,3050,44867,2000000
5,2.5,2270,6300,285000
2,1.5,1070,9643,252700
3,2.25,2450,6500,329000
3,2,1710,4697,233000
3,1.75,2450,2691,937000
3,1,1400,1581,667000
3,1.75,1520,6380,438000
4,2.5,2570,7173,719000
3,2.5,2320,3980,580500
2,1.5,1190,1265,280000
4,1.75,2330,5000,687500
3,1,1090,3000,535000
4,2.75,2060,6659,322500
3,2.5,2300,3060,696000
4,1,1660,34848,550000
4,2,2360,6000,640000
4,1,1220,8075,240000
4,2.5,2620,7553,605000
4,2.5,2570,5520,625000
4,2.25,4220,24186,775000
5,2.75,3595,5639,861990
3,1,1570,2280,685000
3,1,1280,9656,309000
3,2.5,3160,13603,488000
3,1,990,8528,210490
4,2.5,2290,13416,785000
3,1.75,1250,5963,450000
3,2.5,2753,65005,1350000
3,1,1190,9199,228000
5,2.5,3150,9134,345000
3,1.75,1410,4080,600000
2,1.75,1980,8550,585000
5,2.25,2730,6000,920000
4,2.5,2830,5000,885000
4,2.5,2250,4495,292500
3,2.5,2420,4750,301000
5,3.25,3250,14342,951000
4,3,1850,9976,430000
3,2.25,2150,21235,650000
3,1.75,1260,8400,289000
3,1.75,2519,8690,505000
3,1.75,1540,1044,549000
3,2.25,1660,6000,425000
3,2.75,2770,3809,317625
4,2.5,2720,11049,975000
4,2.5,2240,4648,287000
3,1,1000,12070,204000
5,2.25,3200,20158,1325000
5,3.25,4770,50094,1040000
3,2,1260,5612,325000
4,2,2750,7807,571000
4,2.5,2380,5000,360000
3,1.75,1790,50529,349000
4,4,3430,35102,832500
4,1.75,1760,7300,380000
3,1,1040,5060,480000
3,1,1410,5060,410000
4,2.5,3450,39683,720000
3,2.5,2350,5100,390000
4,2.5,1900,5889,360000
2,1,2020,6720,355000
3,1.5,1680,8712,356000
3,1,960,6634,315000
3,1.5,2140,3600,940000
5,2.25,2660,8400,305000
3,3.25,2770,6278,461000
2,2.25,1610,2040,215000
2,1.75,1030,1066,335000
4,2.5,1980,7403,243500
5,2.75,3520,6353,1099880
3,1,1200,10500,153000
3,1.5,1580,5000,430000
3,1.5,1580,5000,700000
4,2.5,3300,10250,905000
3,1.75,1960,15681,247500
4,1.5,1160,6400,199000
3,1.75,1810,41800,314000
3,2.5,2320,36847,437500
3,2.5,2070,13241,850830
3,2,1980,3478,555000
3,2.25,2190,107593,699950
